Type,Root Function Name,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"Root","[AcLayers.dll]","[AcLayers.dll]",1,0,0.21,0.00,
"Caller","[AcLayers.dll]","[AcLayers.dll]",1,0,0.21,0.00,
"Caller","[AcLayers.dll]","[iisexpress.exe]",1,0,0.21,0.00,
"Callee","[AcLayers.dll]","[AcLayers.dll]",1,0,0.21,0.00,
"Callee","[AcLayers.dll]","[KernelBase.dll]",1,0,0.21,0.00,
"Root","[advapi32.dll]","[advapi32.dll]",3,0,0.63,0.00,
"Caller","[advapi32.dll]","[advapi32.dll]",3,0,0.63,0.00,
"Caller","[advapi32.dll]","[iisexpress.exe]",1,0,0.21,0.00,
"Caller","[advapi32.dll]","[nativrd2.dll]",1,0,0.21,0.00,
"Caller","[advapi32.dll]","[w3tp.dll]",1,0,0.21,0.00,
"Callee","[advapi32.dll]","[advapi32.dll]",3,0,0.63,0.00,
"Callee","[advapi32.dll]","[ntdll.dll]",2,0,0.42,0.00,
"Callee","[advapi32.dll]","[rpcrt4.dll]",1,0,0.21,0.00,
"Root","[aepic.dll]","[aepic.dll]",1,0,0.21,0.00,
"Caller","[aepic.dll]","[aepic.dll]",1,0,0.21,0.00,
"Caller","[aepic.dll]","[ntdll.dll]",1,0,0.21,0.00,
"Callee","[aepic.dll]","[aepic.dll]",1,0,0.21,0.00,
"Callee","[aepic.dll]","[ntdll.dll]",1,0,0.21,0.00,
"Root","[apphelp.dll]","[apphelp.dll]",21,4,4.39,0.84,
"Caller","[apphelp.dll]","[apphelp.dll]",21,4,4.39,0.84,
"Caller","[apphelp.dll]","[kernel32.dll]",1,0,0.21,0.00,
"Caller","[apphelp.dll]","[ntdll.dll]",20,0,4.18,0.00,
"Callee","[apphelp.dll]","[apphelp.dll]",21,4,4.39,0.84,
"Callee","[apphelp.dll]","[KernelBase.dll]",1,0,0.21,0.00,
"Callee","[apphelp.dll]","[ntdll.dll]",16,0,3.35,0.00,
"Root","[aspnetcore.dll]","[aspnetcore.dll]",15,4,3.14,0.84,
"Caller","[aspnetcore.dll]","[ntdll.dll]",1,0,0.21,0.00,
"Caller","[aspnetcore.dll]","[winhttp.dll]",14,4,2.93,0.84,
"Callee","[aspnetcore.dll]","[httpapi.dll]",3,0,0.63,0.00,
"Callee","[aspnetcore.dll]","[KernelBase.dll]",7,0,1.46,0.00,
"Callee","[aspnetcore.dll]","[msvcrt.dll]",1,0,0.21,0.00,
"Callee","[aspnetcore.dll]","[winhttp.dll]",14,0,2.93,0.00,
"Root","[authmap.dll]","[authmap.dll]",1,1,0.21,0.21,
"Caller","[authmap.dll]","[ntdll.dll]",1,1,0.21,0.21,
"Root","[cfgmgr32.dll]","[cfgmgr32.dll]",1,0,0.21,0.00,
"Caller","[cfgmgr32.dll]","[cfgmgr32.dll]",1,0,0.21,0.00,
"Caller","[cfgmgr32.dll]","[windows.storage.dll]",1,0,0.21,0.00,
"Callee","[cfgmgr32.dll]","[cfgmgr32.dll]",1,0,0.21,0.00,
"Callee","[cfgmgr32.dll]","[kernel32.dll]",1,0,0.21,0.00,
"Root","[clbcatq.dll]","[clbcatq.dll]",1,0,0.21,0.00,
"Caller","[clbcatq.dll]","[combase.dll]",1,0,0.21,0.00,
"Callee","[clbcatq.dll]","[combase.dll]",1,1,0.21,0.21,
"Root","[combase.dll]","[combase.dll]",40,3,8.37,0.63,
"Caller","[combase.dll]","[clbcatq.dll]",1,1,0.21,0.21,
"Caller","[combase.dll]","[combase.dll]",40,2,8.37,0.42,
"Caller","[combase.dll]","[iisexpress.exe]",28,0,5.86,0.00,
"Caller","[combase.dll]","[nativrd2.dll]",1,0,0.21,0.00,
"Caller","[combase.dll]","[ntdll.dll]",1,0,0.21,0.00,
"Caller","[combase.dll]","[propsys.dll]",7,0,1.46,0.00,
"Caller","[combase.dll]","[rpcrt4.dll]",1,0,0.21,0.00,
"Caller","[combase.dll]","[shell32.dll]",1,0,0.21,0.00,
"Caller","[combase.dll]","[shlwapi.dll]",1,0,0.21,0.00,
"Caller","[combase.dll]","[w3tp.dll]",2,0,0.42,0.00,
"Callee","[combase.dll]","[clbcatq.dll]",1,0,0.21,0.00,
"Callee","[combase.dll]","[combase.dll]",40,2,8.37,0.42,
"Callee","[combase.dll]","[KernelBase.dll]",9,0,1.88,0.00,
"Callee","[combase.dll]","[mlang.dll]",1,0,0.21,0.00,
"Callee","[combase.dll]","[nativrd2.dll]",26,9,5.44,1.88,
"Callee","[combase.dll]","[ntdll.dll]",1,0,0.21,0.00,
"Callee","[combase.dll]","[rpcrt4.dll]",2,0,0.42,0.00,
"Root","[cryptbase.dll]","[cryptbase.dll]",1,1,0.21,0.21,
"Caller","[cryptbase.dll]","[ntdll.dll]",1,1,0.21,0.21,
"Root","[cryptsp.dll]","[cryptsp.dll]",2,0,0.42,0.00,
"Caller","[cryptsp.dll]","[cryptsp.dll]",2,0,0.42,0.00,
"Caller","[cryptsp.dll]","[iisexpress.exe]",1,0,0.21,0.00,
"Caller","[cryptsp.dll]","[nativrd2.dll]",1,0,0.21,0.00,
"Callee","[cryptsp.dll]","[cryptsp.dll]",2,0,0.42,0.00,
"Callee","[cryptsp.dll]","[KernelBase.dll]",2,0,0.42,0.00,
"Root","[dnsapi.dll]","[dnsapi.dll]",1,0,0.21,0.00,
"Caller","[dnsapi.dll]","[dnsapi.dll]",1,0,0.21,0.00,
"Caller","[dnsapi.dll]","[ntdll.dll]",1,0,0.21,0.00,
"Callee","[dnsapi.dll]","[dnsapi.dll]",1,0,0.21,0.00,
"Callee","[dnsapi.dll]","[ntdll.dll]",1,1,0.21,0.21,
"Root","[FWPUCLNT.DLL]","[FWPUCLNT.DLL]",1,0,0.21,0.00,
"Caller","[FWPUCLNT.DLL]","[FWPUCLNT.DLL]",1,0,0.21,0.00,
"Caller","[FWPUCLNT.DLL]","[ws2_32.dll]",1,0,0.21,0.00,
"Callee","[FWPUCLNT.DLL]","[FWPUCLNT.DLL]",1,0,0.21,0.00,
"Callee","[FWPUCLNT.DLL]","[rpcrt4.dll]",1,0,0.21,0.00,
"Root","[gdi32full.dll]","[gdi32full.dll]",1,0,0.21,0.00,
"Caller","[gdi32full.dll]","[user32.dll]",1,0,0.21,0.00,
"Callee","[gdi32full.dll]","[ntdll.dll]",1,1,0.21,0.21,
"Root","[httpapi.dll]","[httpapi.dll]",6,0,1.26,0.00,
"Caller","[httpapi.dll]","[aspnetcore.dll]",3,0,0.63,0.00,
"Caller","[httpapi.dll]","[httpapi.dll]",6,0,1.26,0.00,
"Caller","[httpapi.dll]","[w3tp.dll]",2,0,0.42,0.00,
"Caller","[httpapi.dll]","[w3wphost.dll]",1,0,0.21,0.00,
"Callee","[httpapi.dll]","[httpapi.dll]",6,0,1.26,0.00,
"Callee","[httpapi.dll]","[ntdll.dll]",6,0,1.26,0.00,
"Root","[iertutil.dll]","[iertutil.dll]",4,1,0.84,0.21,
"Caller","[iertutil.dll]","[iertutil.dll]",4,1,0.84,0.21,
"Caller","[iertutil.dll]","[KernelBase.dll]",2,0,0.42,0.00,
"Caller","[iertutil.dll]","[urlmon.dll]",3,0,0.63,0.00,
"Caller","[iertutil.dll]","[windows.storage.dll]",1,0,0.21,0.00,
"Callee","[iertutil.dll]","[iertutil.dll]",4,1,0.84,0.21,
"Callee","[iertutil.dll]","[KernelBase.dll]",3,0,0.63,0.00,
"Root","[iisexpress.exe]","[iisexpress.exe]",163,16,34.10,3.35,
"Caller","[iisexpress.exe]","[kernel32.dll]",163,16,34.10,3.35,
"Callee","[iisexpress.exe]","[AcLayers.dll]",1,0,0.21,0.00,
"Callee","[iisexpress.exe]","[advapi32.dll]",1,0,0.21,0.00,
"Callee","[iisexpress.exe]","[combase.dll]",28,0,5.86,0.00,
"Callee","[iisexpress.exe]","[cryptsp.dll]",1,0,0.21,0.00,
"Callee","[iisexpress.exe]","[kernel32.dll]",3,0,0.63,0.00,
"Callee","[iisexpress.exe]","[KernelBase.dll]",32,0,6.69,0.00,
"Callee","[iisexpress.exe]","[mscoree.dll]",5,0,1.05,0.00,
"Callee","[iisexpress.exe]","[msvcrt.dll]",10,3,2.09,0.63,
"Callee","[iisexpress.exe]","[ntdll.dll]",11,3,2.30,0.63,
"Callee","[iisexpress.exe]","[shell32.dll]",33,0,6.90,0.00,
"Callee","[iisexpress.exe]","[user32.dll]",7,0,1.46,0.00,
"Callee","[iisexpress.exe]","[winhttp.dll]",2,0,0.42,0.00,
"Callee","[iisexpress.exe]","[ws2_32.dll]",7,0,1.46,0.00,
"Callee","[iisexpress.exe]","[xmllite.dll]",6,0,1.26,0.00,
"Root","[iisfcgi.dll]","[iisfcgi.dll]",1,0,0.21,0.00,
"Caller","[iisfcgi.dll]","[ntdll.dll]",1,0,0.21,0.00,
"Callee","[iisfcgi.dll]","[ntdll.dll]",1,0,0.21,0.00,
"Root","[iisfreb.dll]","[iisfreb.dll]",26,0,5.44,0.00,
"Caller","[iisfreb.dll]","[kernel32.dll]",26,0,5.44,0.00,
"Callee","[iisfreb.dll]","[kernel32.dll]",1,1,0.21,0.21,
"Callee","[iisfreb.dll]","[KernelBase.dll]",24,0,5.02,0.00,
"Callee","[iisfreb.dll]","[msvcrt.dll]",1,1,0.21,0.21,
"Root","[iisutil2.dll]","[iisutil2.dll]",1,0,0.21,0.00,
"Caller","[iisutil2.dll]","[ntdll.dll]",1,0,0.21,0.00,
"Callee","[iisutil2.dll]","[KernelBase.dll]",1,0,0.21,0.00,
"Root","[IPHLPAPI.DLL]","[IPHLPAPI.DLL]",8,0,1.67,0.00,
"Caller","[IPHLPAPI.DLL]","[IPHLPAPI.DLL]",8,0,1.67,0.00,
"Caller","[IPHLPAPI.DLL]","[w3tp.dll]",8,0,1.67,0.00,
"Callee","[IPHLPAPI.DLL]","[IPHLPAPI.DLL]",8,0,1.67,0.00,
"Callee","[IPHLPAPI.DLL]","[nsi.dll]",8,0,1.67,0.00,
"Root","[kernel32.dll]","[kernel32.dll]",378,1,79.08,0.21,
"Caller","[kernel32.dll]","[cfgmgr32.dll]",1,0,0.21,0.00,
"Caller","[kernel32.dll]","[iisexpress.exe]",3,0,0.63,0.00,
"Caller","[kernel32.dll]","[iisfreb.dll]",1,1,0.21,0.21,
"Caller","[kernel32.dll]","[kernel32.dll]",2,0,0.42,0.00,
"Caller","[kernel32.dll]","[KernelBase.dll]",2,0,0.42,0.00,
"Caller","[kernel32.dll]","[ntdll.dll]",378,0,79.08,0.00,
"Caller","[kernel32.dll]","[rewrite.dll]",1,0,0.21,0.00,
"Callee","[kernel32.dll]","[apphelp.dll]",1,0,0.21,0.00,
