Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"[ntdll.dll]",260,191,54.39,39.96,
"[ntdll.dll]",441,82,92.26,17.15,
"[wow64cpu.dll]",233,57,48.74,11.92,
"[w3tp.dll]",136,42,28.45,8.79,
"[msvcrt.dll]",34,23,7.11,4.81,
"[iisexpress.exe]",163,16,34.10,3.35,
"[KernelBase.dll]",191,10,39.96,2.09,
"[nativrd2.dll]",47,9,9.83,1.88,
"[xmllite.dll]",10,7,2.09,1.46,
"[wow64.dll]",236,6,49.37,1.26,
"[wow64win.dll]",7,5,1.46,1.05,
"[apphelp.dll]",21,4,4.39,0.84,
"[aspnetcore.dll]",15,4,3.14,0.84,
"[klhkum.dll]",65,4,13.60,0.84,
"[combase.dll]",40,3,8.37,0.63,
"[webio.dll]",11,3,2.30,0.63,
"[rpcrt4.dll]",7,2,1.46,0.42,
"[windows.storage.dll]",39,2,8.16,0.42,
"[authmap.dll]",1,1,0.21,0.21,
"[cryptbase.dll]",1,1,0.21,0.21,
"[iertutil.dll]",4,1,0.84,0.21,
"[kernel32.dll]",378,1,79.08,0.21,
"[oleaut32.dll]",2,1,0.42,0.21,
"[propsys.dll]",11,1,2.30,0.21,
"[SHCore.dll]",4,1,0.84,0.21,
"[ucrtbase.dll]",1,1,0.21,0.21,
"[AcLayers.dll]",1,0,0.21,0.00,
"[advapi32.dll]",3,0,0.63,0.00,
"[aepic.dll]",1,0,0.21,0.00,
"[cfgmgr32.dll]",1,0,0.21,0.00,
"[clbcatq.dll]",1,0,0.21,0.00,
"[cryptsp.dll]",2,0,0.42,0.00,
"[dnsapi.dll]",1,0,0.21,0.00,
"[FWPUCLNT.DLL]",1,0,0.21,0.00,
"[gdi32full.dll]",1,0,0.21,0.00,
"[httpapi.dll]",6,0,1.26,0.00,
"[iisfcgi.dll]",1,0,0.21,0.00,
"[iisfreb.dll]",26,0,5.44,0.00,
"[iisutil2.dll]",1,0,0.21,0.00,
"[IPHLPAPI.DLL]",8,0,1.67,0.00,
"[klhkum.dll]",25,0,5.23,0.00,
"[mlang.dll]",1,0,0.21,0.00,
"[mscoree.dll]",5,0,1.05,0.00,
"[mscoreei.dll]",3,0,0.63,0.00,
"[mswsock.dll]",9,0,1.88,0.00,
"[nsi.dll]",8,0,1.67,0.00,
"[ole32.dll]",1,0,0.21,0.00,
"[profapi.dll]",1,0,0.21,0.00,
"[rewrite.dll]",1,0,0.21,0.00,
"[shell32.dll]",33,0,6.90,0.00,
"[shlwapi.dll]",5,0,1.05,0.00,
"[sspicli.dll]",1,0,0.21,0.00,
"[tiptsf.dll]",1,0,0.21,0.00,
"[urlmon.dll]",4,0,0.84,0.00,
"[user32.dll]",11,0,2.30,0.00,
"[uxtheme.dll]",2,0,0.42,0.00,
"[w3wphost.dll]",2,0,0.42,0.00,
"[win32u.dll]",2,0,0.42,0.00,
"[winhttp.dll]",32,0,6.69,0.00,
"[ws2_32.dll]",14,0,2.93,0.00,
