Function Name,Exclusive Samples,Exclusive Samples %,Inclusive Samples,Inclusive Samples %,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"[wow64cpu.dll]",186,38.91,233,48.74,0,0,0,0,
"[w3tp.dll]",49,10.25,136,28.45,0,0,0,0,
"[klhkum.dll]",45,9.41,65,13.60,0,0,0,0,
"[KernelBase.dll]",39,8.16,191,39.96,0,0,0,0,
"[msvcrt.dll]",31,6.49,34,7.11,0,0,0,0,
"[iisexpress.exe]",25,5.23,163,34.10,0,0,0,0,
"[ntdll.dll]",23,4.81,260,54.39,0,0,0,0,
"[nativrd2.dll]",10,2.09,47,9.83,0,0,0,0,
"[ntdll.dll]",9,1.88,441,92.26,0,0,0,0,
"[xmllite.dll]",7,1.46,10,2.09,0,0,0,0,
"[apphelp.dll]",6,1.26,21,4.39,0,0,0,0,
"[wow64win.dll]",6,1.26,7,1.46,0,0,0,0,
"[kernel32.dll]",5,1.05,378,79.08,0,0,0,0,
"[rpcrt4.dll]",5,1.05,7,1.46,0,0,0,0,
"[windows.storage.dll]",5,1.05,39,8.16,0,0,0,0,
"[aspnetcore.dll]",4,0.84,15,3.14,0,0,0,0,
"[webio.dll]",3,0.63,11,2.30,0,0,0,0,
"[wow64.dll]",3,0.63,236,49.37,0,0,0,0,
"[nsi.dll]",2,0.42,8,1.67,0,0,0,0,
"[advapi32.dll]",1,0.21,3,0.63,0,0,0,0,
"[authmap.dll]",1,0.21,1,0.21,0,0,0,0,
"[clbcatq.dll]",1,0.21,1,0.21,0,0,0,0,
"[combase.dll]",1,0.21,40,8.37,0,0,0,0,
"[cryptbase.dll]",1,0.21,1,0.21,0,0,0,0,
"[dnsapi.dll]",1,0.21,1,0.21,0,0,0,0,
"[gdi32full.dll]",1,0.21,1,0.21,0,0,0,0,
"[iertutil.dll]",1,0.21,4,0.84,0,0,0,0,
"[iisfreb.dll]",1,0.21,26,5.44,0,0,0,0,
"[oleaut32.dll]",1,0.21,2,0.42,0,0,0,0,
"[propsys.dll]",1,0.21,11,2.30,0,0,0,0,
"[rewrite.dll]",1,0.21,1,0.21,0,0,0,0,
"[SHCore.dll]",1,0.21,4,0.84,0,0,0,0,
"[ucrtbase.dll]",1,0.21,1,0.21,0,0,0,0,
"[winhttp.dll]",1,0.21,32,6.69,0,0,0,0,
"[AcLayers.dll]",0,0.00,1,0.21,0,0,0,0,
"[aepic.dll]",0,0.00,1,0.21,0,0,0,0,
"[cfgmgr32.dll]",0,0.00,1,0.21,0,0,0,0,
"[cryptsp.dll]",0,0.00,2,0.42,0,0,0,0,
"[FWPUCLNT.DLL]",0,0.00,1,0.21,0,0,0,0,
"[httpapi.dll]",0,0.00,6,1.26,0,0,0,0,
"[iisfcgi.dll]",0,0.00,1,0.21,0,0,0,0,
"[iisutil2.dll]",0,0.00,1,0.21,0,0,0,0,
"[IPHLPAPI.DLL]",0,0.00,8,1.67,0,0,0,0,
"[klhkum.dll]",0,0.00,25,5.23,0,0,0,0,
"[mlang.dll]",0,0.00,1,0.21,0,0,0,0,
"[mscoree.dll]",0,0.00,5,1.05,0,0,0,0,
"[mscoreei.dll]",0,0.00,3,0.63,0,0,0,0,
"[mswsock.dll]",0,0.00,9,1.88,0,0,0,0,
"[ole32.dll]",0,0.00,1,0.21,0,0,0,0,
"[profapi.dll]",0,0.00,1,0.21,0,0,0,0,
"[shell32.dll]",0,0.00,33,6.90,0,0,0,0,
"[shlwapi.dll]",0,0.00,5,1.05,0,0,0,0,
"[sspicli.dll]",0,0.00,1,0.21,0,0,0,0,
"[tiptsf.dll]",0,0.00,1,0.21,0,0,0,0,
"[urlmon.dll]",0,0.00,4,0.84,0,0,0,0,
"[user32.dll]",0,0.00,11,2.30,0,0,0,0,
"[uxtheme.dll]",0,0.00,2,0.42,0,0,0,0,
"[w3wphost.dll]",0,0.00,2,0.42,0,0,0,0,
"[win32u.dll]",0,0.00,2,0.42,0,0,0,0,
"[ws2_32.dll]",0,0.00,14,2.93,0,0,0,0,
