Type,Unique ID,ID,Name,Begin Time,End Time,Life Time,
"Process",0,0,"ntoskrnl.exe",0.00,"81,188.53","81,188.53",
"Thread",0,0,"Unknown",0.00,"81,188.53","81,188.53",
"Thread",1,0,"Unknown",0.00,"81,188.53","81,188.53",
"Thread",2,0,"Unknown",0.00,"81,188.53","81,188.53",
"Thread",3,0,"Unknown",0.00,"81,188.53","81,188.53",
"Process",1,1396,"iisexpress.exe",206.64,"81,188.53","80,981.90",
"Thread",4,10988,"Unknown",219.05,"81,188.53","80,969.49",
"Thread",5,9060,"Unknown",639.73,"81,188.53","80,548.81",
"Thread",6,10168,"Unknown",643.31,"60,642.84","59,999.53",
"Thread",7,7480,"Unknown",643.45,"60,642.86","59,999.41",
"Thread",8,19808,"Unknown",643.57,"60,642.86","59,999.29",
"Thread",9,12276,"Unknown",683.52,698.69,15.17,
"Thread",10,13504,"Unknown",703.27,717.39,14.11,
"Thread",11,2004,"Unknown",722.13,"81,188.53","80,466.40",
"Thread",12,2348,"Unknown",745.94,746.16,0.22,
"Thread",13,17736,"Unknown",753.36,"81,188.53","80,435.17",
"Thread",14,7524,"Unknown",753.42,"81,188.53","80,435.11",
"Thread",15,18312,"Unknown",753.46,"81,188.53","80,435.07",
"Thread",16,17776,"Unknown",753.50,"81,188.53","80,435.03",
"Thread",17,9176,"Unknown",770.06,"81,188.53","80,418.47",
"Thread",18,17368,"Unknown",774.60,"81,188.53","80,413.94",
"Thread",19,15496,"Unknown",774.64,"81,188.53","80,413.89",
"Thread",20,12500,"Unknown",774.68,"81,188.53","80,413.85",
"Thread",21,12248,"Unknown",774.72,"81,188.53","80,413.81",
"Thread",22,19124,"Unknown",774.79,"81,188.53","80,413.74",
"Thread",23,14312,"Unknown",784.07,"81,188.53","80,404.46",
"Thread",24,8268,"Unknown",785.06,"81,188.53","80,403.48",
"Thread",25,7300,"Unknown",795.44,"81,188.53","80,393.09",
"Thread",26,11944,"Unknown",808.70,"30,812.76","30,004.06",
"Thread",27,17292,"Unknown",837.82,"81,188.53","80,350.71",
"Thread",28,16440,"Unknown",837.91,"81,188.53","80,350.63",
"Thread",29,4500,"Unknown","17,396.07","81,188.53","63,792.47",
