Unique Process ID,Process ID,Unique Thread ID,Thread ID,Thread Name,Thread Begin Time,Thread End Time,Thread Start Address,Life Time,
0,0,0,0,"Unknown",0.00,"81,188.53","18,446,735,280,457,675,920","81,188.53",
0,0,1,0,"Unknown",0.00,"81,188.53","18,446,735,280,457,675,920","81,188.53",
0,0,2,0,"Unknown",0.00,"81,188.53","18,446,735,280,457,675,920","81,188.53",
0,0,3,0,"Unknown",0.00,"81,188.53","18,446,735,280,457,675,920","81,188.53",
1,1396,4,10988,"Unknown",219.05,"81,188.53","19,954,304","80,969.49",
1,1396,5,9060,"Unknown",639.73,"81,188.53","2,003,843,200","80,548.81",
1,1396,6,10168,"Unknown",643.31,"60,642.84","2,003,843,200","59,999.53",
1,1396,7,7480,"Unknown",643.45,"60,642.86","2,003,843,200","59,999.41",
1,1396,8,19808,"Unknown",643.57,"60,642.86","2,003,843,200","59,999.29",
1,1396,9,12276,"Unknown",683.52,698.69,"253,071,920",15.17,
1,1396,10,13504,"Unknown",703.27,717.39,"253,071,920",14.11,
1,1396,11,2004,"Unknown",722.13,"81,188.53","253,071,920","80,466.40",
1,1396,12,2348,"Unknown",745.94,746.16,"1,630,848,592",0.22,
1,1396,13,17736,"Unknown",753.36,"81,188.53","1,644,961,856","80,435.17",
1,1396,14,7524,"Unknown",753.42,"81,188.53","1,644,961,856","80,435.11",
1,1396,15,18312,"Unknown",753.46,"81,188.53","1,644,961,856","80,435.07",
1,1396,16,17776,"Unknown",753.50,"81,188.53","1,644,961,856","80,435.03",
1,1396,17,9176,"Unknown",770.06,"81,188.53","1,412,341,840","80,418.47",
1,1396,18,17368,"Unknown",774.60,"81,188.53","1,369,454,464","80,413.94",
1,1396,19,15496,"Unknown",774.64,"81,188.53","1,369,454,464","80,413.89",
1,1396,20,12500,"Unknown",774.68,"81,188.53","1,369,454,464","80,413.85",
1,1396,21,12248,"Unknown",774.72,"81,188.53","1,369,454,464","80,413.81",
1,1396,22,19124,"Unknown",774.79,"81,188.53","1,369,460,832","80,413.74",
1,1396,23,14312,"Unknown",784.07,"81,188.53","2,013,129,195","80,404.46",
1,1396,24,8268,"Unknown",785.06,"81,188.53","2,003,843,200","80,403.48",
1,1396,25,7300,"Unknown",795.44,"81,188.53","1,994,780,144","80,393.09",
1,1396,26,11944,"Unknown",808.70,"30,812.76","1,913,883,856","30,004.06",
1,1396,27,17292,"Unknown",837.82,"81,188.53","19,931,792","80,350.71",
1,1396,28,16440,"Unknown",837.91,"81,188.53","19,931,504","80,350.63",
1,1396,29,4500,"Unknown","17,396.07","81,188.53","2,003,843,200","63,792.47",
